colors/Success/States/Background Bold Hover,r:0,g:0,b:0,a:13
colors/Warning/Text/Bold,r:245,g:158,b:12,a:255
colors/Warning/Text/Bold,r:0,g:0,b:0,a:153
colors/Warning/Text/Bold,r:255,g:255,b:255,a:51
colors/Warning/Text/Soft,r:245,g:158,b:12,a:255
colors/Warning/Text/Soft,r:0,g:0,b:0,a:153
colors/Warning/Text/Soft,r:255,g:255,b:255,a:178
colors/Warning/Background/Bold,r:245,g:158,b:12,a:255
colors/Warning/Background/Soft,r:245,g:158,b:12,a:255
colors/Warning/Background/Soft,r:255,g:255,b:255,a:204
colors/Warning/Border/Bold,r:245,g:158,b:12,a:255
colors/Warning/Border/Bold,r:255,g:255,b:255,a:102
colors/Warning/Border/Soft,r:245,g:158,b:12,a:255
colors/Warning/Border/Soft,r:255,g:255,b:255,a:128
colors/Warning/States/Background Soft Hover,r:245,g:158,b:12,a:255
colors/Warning/States/Background Soft Hover,r:255,g:255,b:255,a:204
colors/Warning/States/Background Soft Hover,r:0,g:0,b:0,a:13
colors/Warning/States/Background Bold Hover,r:245,g:158,b:12,a:255
colors/Warning/States/Background Bold Hover,r:0,g:0,b:0,a:13

typography/Button,style:SemiBold,size:14,letterSpacing:-0.20000000298023224
typography/Title Page,style:SemiBold,size:28,letterSpacing:-1
typography/Title Section,style:SemiBold,size:22,letterSpacing:-0.5
typography/Title Block,style:SemiBold,size:16,letterSpacing:-0.5
typography/Title List,style:Medium,size:12,letterSpacing:0
typography/Menu Item,style:Regular,size:14,letterSpacing:0
typography/Subheadline,style:Medium,size:16,letterSpacing:0
typography/Headline 1,style:Medium,size:40,letterSpacing:-1
typography/Headline 2,style:Medium,size:32,letterSpacing:-1
typography/Headline 3,style:Medium,size:20,letterSpacing:-0.5
typography/Headline 4,style:Medium,size:20,letterSpacing:-0.5
typography/Body/Large,style:Regular,size:16,letterSpacing:0
typography/Body/Default,style:Regular,size:14,letterSpacing:0
typography/Body/Small,style:Regular,size:12,letterSpacing:0
typography/Body/Large & Emphasized,style:SemiBold,size:16,letterSpacing:0
typography/Body/Default & Emphasized,style:Medium,size:14,letterSpacing:0
